id;elemento1;elemento2;title;artist;track01;track02;track03;duplicata
1;5577;8990;1.0;0.8333333134651184;1.0;0.9375;1.0;true
2;3475;8592;0.9375;1.0;0.8888888955116272;1.0;0.8571428656578064;true
3;4441;8151;1.0;1.0;0.8846153616905212;0.7272727489471436;0.8333333134651184;true
4;4441;7769;0.1111111044883728;0.1428571343421936;1.0;1.0;1.0;true
5;4441;7515;1.0;1.0;1.0;1.0;0.9333333373069763;true
6;3670;8151;1.0;1.0;0.7692307829856873;0.6363636255264282;0.6666666269302368;true
7;7769;8151;0.1111111044883728;0.1428571343421936;0.8846153616905212;0.7272727489471436;0.8333333134651184;true
8;7515;8151;1.0;1.0;0.8846153616905212;0.7272727489471436;0.7777777910232544;true
9;3670;7769;0.1111111044883728;0.1428571343421936;0.8695652484893799;0.875;0.800000011920929;true
10;3670;7515;1.0;1.0;0.8695652484893799;0.875;0.8666666746139526;true
11;7515;7769;0.1111111044883728;0.1428571343421936;1.0;1.0;0.9333333373069763;true
12;4124;7722;0.5714285373687744;1.0;1.0;1.0;1.0;true
13;4124;6737;0.5714285373687744;1.0;1.0;1.0;0.9411764740943909;true
14;4179;4732;1.0;1.0;0.8888888955116272;0.800000011920929;0.5;true
15;4179;4911;1.0;1.0;0.8888888955116272;0.800000011920929;0.5;true
16;6811;7429;0.7777777910232544;1.0;0.9130434989929199;1.0;1.0;true
17;7653;7852;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
18;7653;8029;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
19;10383;7653;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
20;10230;7653;0.7692307829856873;1.0;0.7777777910232544;0.8666666746139526;0.875;true
21;6858;7653;0.7692307829856873;0.9090908765792847;0.7777777910232544;0.8666666746139526;0.875;true
22;10383;7852;1.0;1.0;1.0;1.0;1.0;true
23;10230;7852;0.9230769276618958;1.0;1.0;0.8666666746139526;0.875;true
