abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
DS;1 - acm diverg;10;1;0;0;1.0;0.14046822742474915;0.2463343108504399;42;0;0;42;0;47652904;257
DS;1 - acm diverg;10;2;0;0;0.9902912621359224;0.3411371237458194;0.5074626865671642;103;0;0;102;1;47652903;197
DS;1 - acm diverg;10;3;0;0;1.0;0.13043478260869565;0.2307692307692308;39;0;0;39;0;47652904;260
DS;1 - acm diverg;10;4;0;0;0.981132075471698;0.17391304347826084;0.2954545454545454;53;0;0;52;1;47652903;247
DS;1 - acm diverg;10;5;0;0;0.9782608695652174;0.1505016722408027;0.2608695652173913;46;0;0;45;1;47652903;254
DS;2 - AA[pet-chr];10;1;1;187;1.0;0.44816053511705684;0.6189376443418014;42;92;95;134;0;47652904;165
DS;2 - AA[pet-chr];10;2;1;80;0.9922480620155039;0.4280936454849498;0.5981308411214953;103;26;54;128;1;47652903;171
DS;2 - AA[pet-chr];10;3;1;79;1.0;0.24414715719063546;0.3924731182795699;39;34;45;73;0;47652904;226
DS;2 - AA[pet-chr];10;4;1;84;0.9876543209876543;0.26755852842809363;0.4210526315789473;53;28;56;80;1;47652903;219
DS;2 - AA[pet-chr];10;5;1;80;0.9871794871794872;0.25752508361204013;0.4084880636604774;46;32;48;77;1;47652903;222
